Calendar Year,Portal_Year,State Abbreviation,Operator ID,Operator Business Name,Unknown ,Unknown ,Pre 1940s,1940-1949,1950-1959 ,1960-1969 ,1970-1979 ,1980-1989,1990-1999 ,2000-2009 ,2010-2019 ,2020-2029,Total Miles by Decade,Unknown services,Pre 1940 Number of Services,1940-1949 Number of Services,1950-1959 Number of Services,1960-1969 Number of Services,1970-1979 Number of Services,1980-1989 Number of Services,1990-1999 Number of Services,2000-2009 Number of Services,2010-2019 Number of Services,2020-2029 Number of Services,Case Mains_Services, CASE 'Mains' WHEN 'Mains' THEN '1' ELSE '0' END
2005,2022-01-11,AK,1134,BARROW UTILITIES & ELECTRIC CORP,0,0,0,0,0,0,0,21,1,3,,,25,0,0,0,0,0,0,910,300,56,,,1,1
2005,2022-01-11,AK,4483,ENSTAR NATURAL GAS CO,0,0,0,0,0,301,518,904,535,391,,,2649,0,0,0,0,12018,24351,33429,20816,17081,,,1,1
2005,2022-01-11,AK,13639,NORGASCO INC,0,0,0,0,0,0,0,8,0.5,1,,,9.5,0,0,0,0,0,0,20,73,12,,,1,1
2005,2022-01-11,AK,99128,FAIRBANKS NATURAL GAS,0,0,0,0,0,0,0,0,22,26,,,48,0,0,0,0,0,0,0,129,687,,,1,1
2005,2022-01-11,AL,180,SPIRE ALABAMA INC.,850.6,850.6,0,563,1978,1707,1305,1542,1905,726,,,10576.6,153671,0,0,52541,63143,63019,72431,89788,36490,,,1,1
2005,2022-01-11,AL,261,ALEXANDER CITY MUNICIPAL GAS,0,0,0,0,3,40,4,38,47,8,,,140,0,0,0,0,23,660,1884,1646,58,,,1,1
2005,2022-01-11,AL,766,ATHENS GAS DEPARTMENT,0,0,0,0,26,8,6,19,221,74,,,354,0,0,0,400,50,126,940,2984,2256,,,1,1
2005,2022-01-11,AL,828,"WEST ESCAMBIA UTILITIES, INC.",0,0,0,0,0,0,0,0,0,104,,,104,0,0,0,0,0,0,0,0,2601,,,1,1
2005,2022-01-11,AL,1192,NORTH BALDWIN UTILITIES,84,84,0,0,0,0,0,0,0,14,,,98,2397,0,0,0,0,0,0,0,96,,,1,1
2005,2022-01-11,AL,1365,"BERRY, TOWN OF, GAS BOARD OF",0,0,0,0,0,0,32,0,0,0,,,32,0,0,0,0,0,337,0,0,0,,,1,1
2005,2022-01-11,AL,1486,BLACK WARRIOR TRANSMISSION CORP,0,0,0,0,0,0,0,22,11,0,,,33,0,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,AL,1584,BOAZ GAS BOARD,0,0,0,0,20,25,24,36,87,56,,,248,0,0,0,333,608,913,796,1164,314,,,1,1
2005,2022-01-11,AL,1728,"BREWTON GAS DEPT, CITY OF",186,186,0,0,0,0,0,0,7.5,7.27,,,200.77,3065,0,0,0,0,0,11,232,162,,,1,1
2005,2022-01-11,AL,1736,BRIDGEPORT UTILITIES BOARD,0,0,0,0,12.5,0,0,10,3.72,0.82,,,27.04,0,0,0,390,0,0,0,0,0,,,1,1
2005,2022-01-11,AL,1808,BROOKSIDE GAS SYSTEM,20,20,0,0,0,0,0,0,0,0,,,20,609,0,0,0,0,0,0,0,0,,,1,1
2005,2022-01-11,AL,1952,"BUTLER UTILITIES BOARD, TOWN OF",0,0,0,0,9,0,13,0,0,0,,,22,0,0,0,67,0,400,71,0,0,,,1,1
2005,2022-01-11,AL,2020,CITY OF CALERA NATURAL GAS,0,0,0,0,7,13,7.5,10.7,12.4,36.4,,,87,0,0,0,153,262,279,131,214,1470,,,1,1
2005,2022-01-11,AL,2088,"CARBON HILL GAS BOARD, CITY OF",0,0,0,0,0,44,0,5,0,10,,,59,0,0,0,0,594,75,112,89,30,,,1,1
