Calendar Year,Portal_Year,State Abbreviation,Operator ID,Operator Business Name,Pre 1940 or Unknown ,1940-1949,1950-1959 ,1960-1969,1970-1979,1980-1989,1990-1999,2000-2009,2010-2019,2020-2029,Total By Decade Miles,Trans pre 1940 Offshore Miles,Trans pre 1940 Onshore Miles,Trans Unknown by Dec Offshore Miles,Trans Unknown by Dec Onshore Miles,State Abbreviation
2005,2022-01-11,AK,207,ALASKA PIPELINE CO,0,0,0,63,109,122,52,2,,,348,0,0,0,0,AK
2005,2022-01-11,AK,1134,BARROW UTILITIES & ELECTRIC CORP,0,0,0,0,0,0,6,0,,,6,0,0,0,0,AK
2005,2022-01-11,AK,1541,"HILCORP NORTH SLOPE, LLC",0,0,0,0,0,0,0,48,,,48,0,0,0,0,AK
2005,2022-01-11,AK,12125,MARATHON OIL COMPANY,0,0,0,18,74,0,16,0,,,108,0,0,0,0,AK
2005,2022-01-11,AK,15480,CONOCOPHILLIPS ALASKA NATURAL GAS CORP.,0,0,0,44,0,0,0,0,,,44,0,0,0,0,AK
2005,2022-01-11,AK,26149,ALYESKA PIPELINE SERVICE CO,0,0,0,0,148,0,0,0,,,148,0,0,0,0,AK
2005,2022-01-11,AK,31054,NORTHERN ECLIPSE,0,0,0,0,0,0,1,0,,,1,0,0,0,0,AK
2005,2022-01-11,AK,31178,XTO ENERGY INC,0,0,0,7,0,0,0,0,,,7,0,0,0,0,AK
2005,2022-01-11,AK,31347,UNION OIL COMPANY OF CALIFORNIA (UOCC),0,0,0,19,5,2,1,0,,,27,0,0,0,0,AK
2005,2022-01-11,AK,31896,"NORSTAR PIPELINE COMPANY, INC.",0,0,0,0,0,0,0,47,,,47,0,0,0,0,AK
2005,2022-01-11,AL,180,SPIRE ALABAMA INC.,2,10,35,50,10,125,32,14,,,278,0,0,0,2,AL
2005,2022-01-11,AL,189,"BBT ALATENN, LLC",0,0,139,75,10,2,12,0,,,238,0,0,0,0,AL
2005,2022-01-11,AL,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",0,0,0,0,0,0,0,0,,,0,0,0,0,0,AL
2005,2022-01-11,AL,1130,BASIN PIPELINE CORP,0,0,0,0,0,19,0,0,,,19,0,0,0,0,AL
2005,2022-01-11,AL,1486,BLACK WARRIOR TRANSMISSION CORP,0,0,0,0,0,22,11,0,,,33,0,0,0,0,AL
2005,2022-01-11,AL,2304,CHILDERSBURG GAS BOARD,0,0,0,28,0,0,0,0,,,28,0,0,0,0,AL
2005,2022-01-11,AL,2456,CLARKE - MOBILE COUNTIES GAS DIST,0,0,0,21,80,59,14,3,,,177,0,0,0,0,AL
2005,2022-01-11,AL,2731,CHEVRON PIPE LINE CO,0,0,0,0,0,0,32,0,,,32,0,0,0,0,AL
2005,2022-01-11,AL,4908,"EXXONMOBIL PRODUCTION COMPANY, A DIVISION OF EXXON MOBIL CORPORATION",0,0,0,0,0,22.65,48.28,0.29,,,71.22,0,0,0,0,AL
2005,2022-01-11,AL,5304,FLORIDA GAS TRANSMISSION CO,0,0,59.64,58.8,8.04,10.94,72.19,48.64,,,258.25,0,0,0,0,AL
2005,2022-01-11,AL,5524,FOUR STAR OIL & GAS CO,0,0,0,0,0,0,0,0,,,0,0,0,0,0,AL
2005,2022-01-11,AL,12180,MARSHALL COUNTY GAS DISTRICT,0,0,0,85,0,0,0,0,,,85,0,0,0,0,AL
2005,2022-01-11,AL,12642,SPIRE GULF INC.,0,0,0,4,18,11,15,5,,,53,0,0,0,0,AL
2005,2022-01-11,AL,14071,MURPHY EXPLORATION & PROD CO,0,0,0,0,0,0,0,0,,,0,0,0,0,0,AL
2005,2022-01-11,AL,18280,SHELL OFFSHORE INC - COASTAL DIVISION,0,0,0,0,0,0,0,0,,,0,0,0,0,0,AL
2005,2022-01-11,AL,18286,SHELL WESTERN E & P INC - CENTRAL DIV,0,0,0,0,0,18,0,0,,,18,0,0,0,0,AL
2005,2022-01-11,AL,18456,SOUTHEAST GAS,0,0,428,45,23,45,83,92,,,716,0,0,0,0,AL
