Safety Program (SP) data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rows are sorted by submitting_opid, system_type, record_created",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_AS_OF,RECORD_SOURCE,RECORD_CREATED,SUBMITTING_OPID,SUBMITTING_OPID_STATUS,SUBMITTING_OPID_NAME,SYSTEM_TYPE,D&A_PRIMARY_OPID,D&A_PRIMARY_NAME,D&A_STATUS,D&A_ENTER_DATE,D&A_EXIT_DATE,OME_PRIMARY_OPID,OME_PRIMARY_NAME,OME_STATUS,OME_ENTER_DATE,OME_EXIT_DATE,DP_PRIMARY_OPID,DP_PRIMARY_NAME,DP_STATUS,DP_ENTER_DATE,DP_EXIT_DATE,PA_PRIMARY_OPID,PA_PRIMARY_NAME,PA_STATUS,PA_ENTER_DATE,PA_EXIT_DATE,CRM_PRIMARY_OPID,CRM_PRIMARY_NAME,CRM_STATUS,CRM_ENTER_DATE,CRM_EXIT_DATE,OQ_PRIMARY_OPID,OQ_PRIMARY_NAME,OQ_STATUS,OQ_ENTER_DATE,OQ_EXIT_DATE,IM_PRIMARY_OPID,IM_PRIMARY_NAME,IM_STATUS,IM_ENTER_DATE,IM_EXIT_DATE,OPA_PRIMARY_OPID,OPA_PRIMARY_NAME,OPA_STATUS,OPA_ENTER_DATE,OPA_EXIT_DATE
12/15/21,Type C Notification,5/18/15,3,ACTIVE,ACADIAN GAS PIPELINE SYSTEM,Gas Gathering,31618,Enterprise,Current,6/13/14,,31618,Enterprise,Current,6/13/14,,31618,Enterprise,Current,6/13/14,,31618,Enterprise,Current,6/13/14,,31618,Enterprise,Current,6/13/14,,31618,Enterprise,Current,6/13/14,,,,,,,,,,,
12/15/21,Operator Validation,6/7/12,3,ACTIVE,ACADIAN GAS PIPELINE SYSTEM,Gas Transmission,31618,Enterprise,Current,4/21/95,,31618,Enterprise,Current,4/21/95,,31618,Enterprise,Current,4/21/95,,31618,Enterprise,Current,4/21/95,,31618,Enterprise,Current,4/21/95,,31618,Enterprise,Current,4/21/95,,31618,Enterprise,Current,4/21/95,,,,,,
12/15/21,Operator Validation,12/3/12,18,ACTIVE,"ABBYVILLE, CITY OF",Gas Distribution,18,"ABBYVILLE, CITY OF",Current,5/24/95,,18,"ABBYVILLE, CITY OF",Current,5/24/95,,18,"ABBYVILLE, CITY OF",Current,5/24/95,,18,"ABBYVILLE, CITY OF",Current,5/24/95,,18,"ABBYVILLE, CITY OF",Current,5/24/95,,18,"ABBYVILLE, CITY OF",Current,5/24/95,,18,"ABBYVILLE, CITY OF",Current,5/24/95,,,,,,
12/15/21,Type C Notification,4/14/15,21,INACTIVE,"ACACIA NATURAL GAS, L.L.C.",Gas Transmission,32005,EnLink Midstream,Current,3/7/14,,32005,EnLink Midstream,Current,3/7/14,,32005,EnLink Midstream,Current,3/7/14,,32005,EnLink Midstream,Current,3/7/14,,32005,EnLink Midstream,Current,3/7/14,,32005,EnLink Midstream,Current,3/7/14,,32005,EnLink Midstream,Current,3/7/14,,,,,,
12/15/21,Operator Validation,9/24/12,21,INACTIVE,"ACACIA NATURAL GAS, L.L.C.",Gas Transmission,31304,Devon,Superseded,5/3/95,3/7/14,31304,Devon,Superseded,5/3/95,3/7/14,31304,Devon,Superseded,5/3/95,3/7/14,31304,Devon,Superseded,5/3/95,3/7/14,31304,Devon,Superseded,5/3/95,3/7/14,31304,Devon,Superseded,5/3/95,3/7/14,31304,Devon,Superseded,5/3/95,3/7/14,,,,,
12/15/21,Operator Validation,3/15/13,27,ACTIVE,ABITA SPRINGS NAT GAS & WATER,Gas Distribution,27,ABITA SPRINGS NAT GAS & WATER,Current,6/6/95,,27,ABITA SPRINGS NAT GAS & WATER,Current,6/6/95,,27,ABITA SPRINGS NAT GAS & WATER,Current,6/6/95,,27,ABITA SPRINGS NAT GAS & WATER,Current,6/6/95,,27,ABITA SPRINGS NAT GAS & WATER,Current,6/6/95,,27,ABITA SPRINGS NAT GAS & WATER,Current,6/6/95,,27,ABITA SPRINGS NAT GAS & WATER,Current,6/6/95,,,,,,
12/15/21,Operator Validation,8/22/12,45,ACTIVE,"ADAIRSVILLE, CITY OF",Gas Distribution,45,"ADAIRSVILLE, CITY OF",Current,4/20/95,,45,"ADAIRSVILLE, CITY OF",Current,4/20/95,,45,"ADAIRSVILLE, CITY OF",Current,4/20/95,,45,"ADAIRSVILLE, CITY OF",Current,4/20/95,,45,"ADAIRSVILLE, CITY OF",Current,4/20/95,,45,"ADAIRSVILLE, CITY OF",Current,4/20/95,,45,"ADAIRSVILLE, CITY OF",Current,4/20/95,,,,,,
12/15/21,Operator Validation,4/27/12,49,ACTIVE,TOWN OF ADAMSVILLE GAS DEPT,Gas Distribution,49,TOWN OF ADAMSVILLE GAS DEPT,Current,4/20/95,,49,TOWN OF ADAMSVILLE GAS DEPT,Current,4/20/95,,49,TOWN OF ADAMSVILLE GAS DEPT,Current,4/20/95,,49,TOWN OF ADAMSVILLE GAS DEPT,Current,4/20/95,,49,TOWN OF ADAMSVILLE GAS DEPT,Current,4/20/95,,49,TOWN OF ADAMSVILLE GAS DEPT,Current,4/20/95,,49,TOWN OF ADAMSVILLE GAS DEPT,Current,4/20/95,,,,,,
12/15/21,Operator Validation,12/3/12,54,ACTIVE,"ADEL GAS DEPT, CITY OF",Gas Distribution,54,"ADEL GAS DEPT, CITY OF",Current,4/20/95,,54,"ADEL GAS DEPT, CITY OF",Current,4/20/95,,54,"ADEL GAS DEPT, CITY OF",Current,4/20/95,,54,"ADEL GAS DEPT, CITY OF",Current,4/20/95,,54,"ADEL GAS DEPT, CITY OF",Current,4/20/95,,54,"ADEL GAS DEPT, CITY OF",Current,4/20/95,,54,"ADEL GAS DEPT, CITY OF",Current,4/20/95,,,,,,
12/15/21,Operator Validation,2/18/13,72,INACTIVE,AGENDA GAS SYSTEM,Gas Distribution,72,AGENDA GAS SYSTEM,Current,5/24/95,,72,AGENDA GAS SYSTEM,Current,5/24/95,,72,AGENDA GAS SYSTEM,Current,5/24/95,,72,AGENDA GAS SYSTEM,Current,5/24/95,,72,AGENDA GAS SYSTEM,Current,5/24/95,,72,AGENDA GAS SYSTEM,Current,5/24/95,,72,AGENDA GAS SYSTEM,Current,5/24/95,,,,,,
