"","sub.id","sub.name","sub.sys","sub.status","pri.id","pri.name","pri.status"
"1",3,"ACADIAN GAS PIPELINE SYSTEM","Gas Gathering","ACTIVE",31618,"Enterprise","Current"
"2",3,"ACADIAN GAS PIPELINE SYSTEM","Gas Transmission","ACTIVE",31618,"Enterprise","Current"
"3",18,"ABBYVILLE, CITY OF","Gas Distribution","ACTIVE",18,"ABBYVILLE, CITY OF","Current"
"4",21,"ACACIA NATURAL GAS, L.L.C.","Gas Transmission","INACTIVE",32005,"EnLink Midstream","Current"
"5",21,"ACACIA NATURAL GAS, L.L.C.","Gas Transmission","INACTIVE",31304,"Devon","Superseded"
"6",27,"ABITA SPRINGS NAT GAS & WATER","Gas Distribution","ACTIVE",27,"ABITA SPRINGS NAT GAS & WATER","Current"
"7",45,"ADAIRSVILLE, CITY OF","Gas Distribution","ACTIVE",45,"ADAIRSVILLE, CITY OF","Current"
"8",49,"TOWN OF ADAMSVILLE GAS DEPT","Gas Distribution","ACTIVE",49,"TOWN OF ADAMSVILLE GAS DEPT","Current"
"9",54,"ADEL GAS DEPT, CITY OF","Gas Distribution","ACTIVE",54,"ADEL GAS DEPT, CITY OF","Current"
"10",72,"AGENDA GAS SYSTEM","Gas Distribution","INACTIVE",72,"AGENDA GAS SYSTEM","Current"
"11",81,"AGUILAR, TOWN OF","Gas Distribution","ACTIVE",81,"AGUILAR, TOWN OF","Current"
"12",81,"AGUILAR, TOWN OF","Gas Transmission","ACTIVE",81,"AGUILAR, TOWN OF","Current"
"13",117,"AIR PRODUCTS & CHEMICALS INC","Gas Transmission","ACTIVE",117,"AIR PRODUCTS & CHEMICALS INC","Current"
"14",117,"AIR PRODUCTS & CHEMICALS INC","Hazardous Liquid","ACTIVE",117,"AIR PRODUCTS & CHEMICALS INC","Current"
"15",144,"AJAX PIPELINE CO","Gas Distribution","INACTIVE",144,"AJAX PIPELINE CO","Current"
"16",144,"AJAX PIPELINE CO","Gas Gathering","INACTIVE",144,"AJAX PIPELINE CO","Current"
"17",180,"SPIRE ALABAMA INC.","Gas Distribution","ACTIVE",180,"ALABAMA GAS CORPORATION","Current"
"18",180,"SPIRE ALABAMA INC.","Gas Transmission","ACTIVE",180,"ALABAMA GAS CORPORATION","Current"
"19",180,"SPIRE ALABAMA INC.","LNG Plant/Facility","ACTIVE",180,"ALABAMA GAS CORPORATION","Current"
"20",189,"BBT ALATENN, LLC","Gas Transmission","ACTIVE",189,"American Midstream","Current"
"21",207,"ALASKA PIPELINE CO","Gas Distribution","ACTIVE",4483,"Enstar Natural Gas","Current"
"22",207,"ALASKA PIPELINE CO","Gas Transmission","ACTIVE",4483,"Enstar Natural Gas","Current"
"23",225,"ALBANY MUNICIPAL GAS CO","Gas Distribution","ACTIVE",225,"ALBANY MUNICIPAL GAS CO","Current"
"24",234,"ALBANY WATER GAS & LIGHT COMMISSION","Gas Distribution","ACTIVE",234,"ALBANY WATER GAS & LIGHT COMMISSION","Current"
"25",252,"ALEDO GAS DEPT, CITY OF","Gas Distribution","ACTIVE",252,"ALEDO GAS DEPT, CITY OF","Current"
"26",261,"ALEXANDER CITY MUNICIPAL GAS","Gas Distribution","ACTIVE",261,"ALEXANDER CITY MUNICIPAL GAS","Current"
"27",270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF","Gas Distribution","ACTIVE",270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF","Current"
