NAME,OPERATOR_ID,SIGNIFICANT,IYEAR,LOCAL_DATETIME,LOCATION_LATITUDE,LOCATION_LONGITUDE,UNINTENTIONAL_RELEASE,INTENTIONAL_RELEASE,FATALITY_IND,FATAL,INJURY_IND,INJURE,EXPLODE_IND,IGNITE_IND,NUM_PUB_EVACUATED,TOTAL_COST_CURRENT,CAUSE,COMMODITY_RELEASED_TYPE,NARRATIVE,SYSTEM_TYPE,UNITS,TOTAL_RELEASE,MDY,IMONTH,MSYS,ILOC,MoYr
SOUTHERN NATURAL GAS CO,18516,YES,2010,2010-01-06T04:32:00Z,33.10762,-89.15281,41176,0,NO,0,NO,0,NO,NO,NA,334324.403866476,CORROSION FAILURE,"NATURAL GAS","ON JANUARY 6 2010 SOUTHERN NATURAL GAS (SNG) COMPANY OPERATIONS PERSONNEL AT THE LOUISVILLE (MS) COMPRESSOR STATION ADVISED SNG GAS CONTROL THAT MEMBERS OF THE GENERAL PUBLIC HAD REPORTED A LOUD NOISE NEAR HIGHWAY 14 WEST OF LOUISVILLE MS. GAS CONTROL SAW A CORRESPONDING PRESSURE DROP VIA THE SCADA SYSTEM. A FAILURE HAD OCCURED ON SNG'S 24 INCH 2ND NORTH MAIN PIPELINE. SNG FIELD PERSONNEL WERE DISPATCHED TO CLOSE VALVES FOR ISOLATION OF THE FAILURE SITE AND TAKE THE AFFECTED SEGMENT OF PIPELINE OUT OF SERVICE. THE FAILURE WAS CAUSED BY A CLUSTER OF EXTERNAL CORROSION PITS WITH SUBSEQUENT NEAR-NEUTRAL PH STRESS CORROSION CRACKING (SCC) CONFINED WITHIN A LOCALIZED AREA OF THE MOST SEVERE CORROSION.  THE EVIDENCE GATHERED DURING THE INVESTIGATION CONCLUDED THAT THE EXTERNAL CORROSION WHICH INITIATED THIS FAILURE ALLOWED ELECTROCHEMICAL CORROSION TO THIN THE PIPE WALL, INCREASING THE LOCALIZED STRESSES, WHICH CROSSED THE THRESHOLD FOR SCC TO INITIATE AND PROPAGATE UNTIL THE REMAINING PIPE WALL COULD NO LONGER SUPPORT NORMAL OPERATING PRESSURE.",GT (Gas Transmission),mscf,41176,2010-01-06,1,Gas,"Louisville, MS",2010-01-01
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",11169,YES,2010,2010-01-08T23:38:00Z,48.99555,-97.52554,3784,0,NO,0,NO,0,NO,NO,0,5105851.39056329,MATERIAL FAILURE OF PIPE OR WELD,CRUDE OIL,"ON JANUARY 8, 2010 AT 23:38 LOCAL TIME, THE ENBRIDGE CONTROL CENTRE NOTICED A SUDDEN DROP IN PRESSURE ON LINE 2 AND IMMEDIATELY SHUT THE  PIPELINE DOWN. ENBRIDGE SUPERIOR REGION OPERATIONS AND CENTRAL REGION OPERATIONS (CANADA) WERE NOTIFIED AND DISPATCHED. UPON ARRIVAL,  COMPANY PERSONNEL DISCOVERED A LEAK ESTIMATED AT APPROXIMATELY 3,000 BARRELS CONTAINED PRIMARILY TO THE COMPANY RIGHT-OF-WAY. ADDITIONAL  COMPANY RESOURCES WERE IMMEDIATELY DISPATCHED TO CONTROL AND CLEAN-UP THE RELEASED OIL, INVESTIGATE THE CAUSE OF THE RELEASE AND TO REPAIR  THE PIPELINE FOR RETUM TO SERVICE. THE NATIONAL RESPONSE CENTER AND NORTH DAKOTA STATE INCIDENT REPORTING HOTLINES WERE CONTACTED.    THE PRELIMINARY CAUSE OF THE PIPELINE RUPTURE WAS A FAILURE IN A SECTION OF THE LONGITUDINAL SEAM OF THE PIPE. THE AFFECTED PIPE SEGMENT WAS  REMOVED DURING THE REPAIR AND HAS BEEN SENT TO A THIRD-PARTY METALLURGICAL  LAB FOR ANALYSIS. THE PIPELINE WAS REPAIRED AND WAS RESTARTED ON  JANUARY 13, 2010 AT APPROXIMATELY 09:17 LOCAL  TIME. SITE DEAN-UP (SOIL EXCAVATION) IS CURRENTLY STILL  BEING COMPLETED; HOWEVER NO LONG TERM  REMEDIATION ACTIVITIES ARE EXPECTED.    A PHMSA REPRESENTATIVE WAS ONSITE DURING THE EMERGENCY RESPONSE AND REPAIR ACTIVITIES AND WAS INVOLVED WITH THE RETUM TO SERVICE PLAN.  ENBRIDGE WILL BE WORKING WITHPHMSA DURING THE INVESTIGATION AND WILL BE SHARING THE RESULTS OF THE INVESTIGATION/FAILURE ANALYSIS.    SUPPLEMENTAL/FINAL REPORT (UPDATE AS OF APRIL 1,, 2011)    THE METALLURGICAL INVESTIGATION THAT WAS CONDUCTED CONCLUDED THAT THE FAILURE WAS THE RESULT OF A FATIGUE CRACK THAT INITIATED AT A LOCATION ALONG THE FLASH WELDED SEAM, FROM THE INSIDE PIPE DIAMETER. THE INVESTIGATION REVEALED NO PRE-EXISTING WELDING OR PIPE BODY DEFECTS, OR MATERIAL PROPERTY DEFICIENCIES THAT COULD HAVE CONTRIBUTED TO CRACK INITIATION, CRACK GROWTH, OR FINAL FAILURE.  WELD MISALIGNMENT AND PEAKING WERE OBSERVED AT THE INITIATION LOCATION.  THE CRACK GREW IN SERVICE UNDER CYCLIC LOADS UNTIL IT REACHED A CRITICAL SIZE AND RUPTURED.    SITE CLEAN UP IS COMPLETED AND THE LEAK SITE HAS OFFICIALLY BEEN CLOSED BY THE ENVIRONMENTAL HEALTH SECTION OF THE NORTH DAKOTA DEPARTMENT OF HEALTH.  APPROXIMATELY 4760 CUBIC YARDS OF CONTAMINATED SOIL WERE DISPOSED OF AT AN APPROVED LAND FILL.",HL (Hazardous Liquids),US BBLs,3784,2010-01-08,1,HL,"Neche, ND",2010-01-01
ENTERPRISE PRODUCTS OPERATING LLC,31618,YES,2010,2010-02-17T04:40:00Z,33.13005,-97.49584,35192,0,NO,0,NO,0,NO,NO,0,104898.058252427,EQUIPMENT FAILURE,"NATURAL GAS","ON FEBRUARY 17, 2010 THE WISE COUNTY COMPRESSOR STATION DISCHARGE VENT VALVE SOLENOID FAILED, CAUSING THE COMPRESSOR DISCHARGE VENT VALVE TO OPEN. THE PLC FAILED TO CLOSE THE SUCTION AND DISCHARGE VALVES ON THE COMPRESSOR AND INITIATE A COMPRESSOR STATION SHUTDOWN. THE INCIDENT WAS DISCOVERED BY LOCAL OPERATIONS AT 06:50. AFTER REVIEW OF THE INCIDENT, IT WAS DISCOVERED THAT A SEQUENCE BYPASS HAD BEEN INSTALLED DURING THE INTIAL COMMISSIONING OF THE STATION TO HELP PURGE THE STATION. THE BYPASS WAS NOT REMOVED AFTER COMMISSIONING. THIS ALLOWED THE COMPRESSOR SUCTION AND DISCHARGE VALVES TO STAY OPEN WHEN THE SOLENIOD FAILED ON THE COMPRESSOR VENT VALVE CAUSING IT TO OPEN.",GT (Gas Transmission),mscf,35192,2010-02-17,2,Gas,"Rhome, TX",2010-02-01
ONEOK NGL PIPELINE LP,32109,YES,2010,2010-02-25T04:50:00Z,36.6659,-97.8846,13718,0,NO,0,NO,0,NO,NO,5,1947276.41155685,INCORRECT OPERATION,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,OPERATOR WAS ISOLATING PIPELINE GATHERING SYSTEM AT DELIVERY POINT WHICH REQUIRED SHUTDOWN OF INJECTION FACILITIES.  CONTROLLER FAILED TO FOLLOW SYSTEM SHUT DOWN PROCEDURES WHICH CAUSED AN OVERPRESSURE ON SECTION OF PIPELINE WHICH RESULTED IN A PIPELINE RUPTURE.  RUPTURE OCCURRED AT POINT OF A PREVIOUS MECHANICAL DAMAGE (GOUGE/DENT COMBINATION).  PROCEDURES FOR ISOLATING THE PIPELINE GATHERING SYSTEM HAVE BEEN REVIEWED AND PIPELINE CONTROLLERS HAVE BEEN RETRAINED ON PROCEDURES.,HL (Hazardous Liquids),US BBLs,13718,2010-02-25,2,HL,"Pond Creek, OK",2010-02-01
"SOUTHERN STAR CENTRAL GAS PIPELINE, INC",31711,YES,2010,2010-03-02T04:20:00Z,37.94216,-98.25881,91089,0,NO,0,NO,0,NO,NO,20,953253.667074981,MATERIAL FAILURE OF PIPE OR WELD,"NATURAL GAS","AT 4:20AM THE GAS CONTROLLER NOTICED A PRESSURE DROP AT THE STAFFORD STATION OF APPROX. 100 PSI. IN APPROX. 30 MIN. AT 4:30AM THE GAS CONTROLLER CONTACTED THE ON CALL OPERATOR TO GO TO HESSTON STATION TO SEE IF HE CAN INDENTIFY ANY PROBLEMS THERE. ASLO,THE GAS CONTROLLERCONTACTED A SECOND OPERATOR ON CALLTO GO TO STAFFORD STATION AND SEE IF HE CAN IDENTIFY ANY PROBLEMS THERE. A PINCH WAS ENABLED AT STAFFORD STATION TO HOLD UPSTREAM PRESSURE FOR POWER PLANTS. AT 5:08AM THE GAS CONTROLLER RECEIVED A CALL FROM RENO COUNTY 911 DISPATCH ABOUT A LEAK AT RED ROCK ROAD AND ANDRE ROAD IN RENO COUNTY KANSAS. THE GAS CONTROLLER WAS INFORMED BY THE DISPATCHER THAT RENO COUNTY EMERGENCY CREWS WERE ON SITE. AT 6:03AM  THE SOUTHERN STAR LYONS DISTRICT MANAGER ARRIVED ON SITE. AT 6:06AM SOUTHERN STAR  PERSONNEL ON SITE CALLED GAS CONTROL TO INFORM THEM THAT HE WAS SHUTTING IN THE RA LINE. AT 7:22 KGS ARK RIVER IS FLOWING TO ASSIST SSCGP. AT 8:00AM RA WAS ISOLATED. AT 8:40AM SOUTHERN STAR PERSONNEL ON SITE CALLED GAS CONTROL TO INFORM HIM THAT ARK RIVER IS PHYSICALLY SHUT IN TO MAKE SURE NO GAS FLOWS INTO RA LINE.",GT (Gas Transmission),mscf,91089,2010-03-02,3,Gas,"Abbyville, KS",2010-03-01
"SUNOCO, INC (R&M)",18779,YES,2010,2010-03-25T13:42:00Z,39.91934,-75.20447,1700,0,NO,0,NO,0,NO,NO,0,121721.055913531,EQUIPMENT FAILURE,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"4/23/2010 NARRATIVE DESCRIPTION (PARTIAL):  ON 3/25/2010 AT 13:45 HOURS, A CONTRACTOR EMPLOYEE WORKING FOR SUNOCO, INC. (R&M) ENTERED THE WEST YARD SECTION OF THE PHILADELPHIA REFINERY AND DISCOVERED A RELEASE OF HEAVY OIL AROUND A VALVE MANIFOLD WHICH CONNECTS THE FM-1 PIPELINE TO THE N-8 PIPELINE.  THE CONTRACTOR EMPLOYEE NOTIFIED SUNOCO PERSONNEL AND A RESPONSE WAS INITIATED.  THE VACUUM GAS OIL (VGO) TRANSFER WAS SHUTDOWN AT 14:00 HOURS AND, DUE TO THE HIGH VISCOSITY OF THE PRODUCT, THE HEAVY MATERIAL WAS IMMEDIATELY DISPLACED FROM THE PIPELINE WITH LIGHT CYCLE OIL (LCO) AND ISOLATED BY 18:00 HOURS.    ON 4/5/2010, THE SOURCE OF THE RELEASE WAS DETERMINED TO HAVE BEEN A FLANGED CONNECTION ON THE FM-1 PIG TRAP, NORMALLY ISOLATED, EXCEPT DURING PIGGING ACTIVITY.  THE PIG TRAP WAS LAST USED DURING AN IN-LINE INSPECTION CONDUCTED ON JUNE 23, 2008.  A MORE THOROUGH EVALUATION WILL BE PERFORMED TO IDENTIFY THE FAILURE MECHANISM THAT RESULTED IN THE RELEASE FROM THE FLANGED CONNECTION.    A HYDROCHEM (VACUUM TRUCK) EMPLOYEE, WHO ROUTINELY MONITORED AND MANAGED RESIDUAL OIL THAT ACCUMULATED IN REFINERY SUMPS, INCLUDING THE WEST YARD VALVE MANIFOLD VAULT, REPORTED THAT OIL ACCUMULATION APPEARED TO INTENSIFY AND WAS FOUND OUTSIDE THE VAULT BEGINNING ABOUT 3/15/2010.  THIS WAS BELIEVED TO BE CAUSED BY TYPICAL RESIDUAL GROUND SEEPAGE EXACERBATED BY EXCESSIVE RAINFALL AND SNOW THAW.  OPERATIONS TURNOVER REPORTS FROM 3/15/10 TO 3/25/10 HAVE ONLY ONE REPORT OF HEAVY OIL ON WATER (3/18/10).  THIS AGAIN WAS REMOVED BY HYDROCHEM VACUUM TRUCKS.   ON THE MORNING OF 3/16/2010 , TWO SUNOCO EMPLOYEES WERE IN THE WEST YARD FOR TRAINING PURPOSES AND DID NOT NOTICE A LEAK OR HEAVY OIL AT THAT TIME.  ON 3/24/2010 AT 11:00 HOURS, ANOTHER SUNOCO EMPLOYEE WAS IN THE WEST YARD AND DID NOT REPORT A RELEASE AT THAT TIME.    IN ADDITION, ON 3/24 AT 13:37 HOURS, A HYDROCHEM EMPLOYEE ENTERED THE WEST YARD TO VACUUM RESIDUAL OIL FROM THE VALVE MANIFOLD VAULT.  THE RELEASE IS BELIEVED TO HAVE STARTED IN THE 24 HOURS PRIOR TO DISCOVERY.    A TOTAL OF 1,700 BARRELS WAS RELEASED AND NEARLY ALL OF THE MATERIAL HAS BEEN RECOVERED.    5/19/2010 UPDATE:  THE FM-1 PIG TRAP WAS ABOUT 39 1/2' IN LENGTH, MEASURED FROM THE FLANGE AT THE INLET/OUTLET VALVE TO THE FLANGE AT THE CLOSURE.  THE TRAP WAS INITIALLY SUPPORTED AT THREE LOCATIONS.  THE TRAP WAS SUPPORTED AT THE CONTAINMENT WALL AROUND THE MANIFOLD, 9'-4' FROM THE FLANGE AT THE CLOSURE.  THE TRAP WAS ALSO SUPPORTED BY ITS FLANGED CONNECTION TO THE INLET/OUTLET VALVE.  DUE TO ITS LENGTH, IT WAS ALSO SUPPORTED, ADJACENT TO THE FAILED CENTER FLANGE.  THE CENTER FLANGE WAS 5'-0' FROM THE INLET/OUTLET VALVE.  THE CENTER SUPPORT IS BELIEVED TO HAVE BEEN LOCATED IN THE 5' SPOOL, WITHIN 12' FROM THE CENTER FLANGE.  THE SUPPORT CONSISTED OF A STRUCTURAL COLUMN, A BASE PLATE AT THE BOTTOM THAT RESTED ON THE FLOOR OF THE MANIFOLD CONTAINMENT, AND A TWO-PART CLAMP-STYLE FITTING AT THE TOP WHICH SECURED THE SUPPORT TO THE OUTSIDE DIAMETER OF THE CARRIER PIPE.  ONCE THE FM-1 TRAP WAS REMOVED, THE CENTER SUPPORT WAS FOUND IN THE CONTAINMENT, DETACHED AND SEPARATED FROM THE FM-1 TRAP PIPING.    IT IS CONCLUDED THAT THE LACK OF SUPPORT AT THE CENTER FLANGE, ALLOWED PIPE MOVEMENT OVER TIME, INCLUDING MOVEMENT CAUSED BY THERMAL CYCLING, WHICH APPLIED A DIFFERENTIAL STRESS ON THE FLANGE BOLTS AND EVENTUALLY CAUSED THE FLANGE TO OPEN AT THE 8:00 O'CLOCK POSITION.  THE FM-1 TRAP INLET/OUTLET VALVE WAS FOUND TO HAVE A MECHANICAL DEFECT WHICH PREVENTED A TIGHT SHUT-OFF, WHICH ALLOWED PRODUCT FROM THE FM-1 PIPELINE TRANSFER TO PASS THROUGH THE VALVE, INTO THE PIG TRAP, CAUSING THE RELEASE FROM THE CENTER FLANGE.  NO CORROSION OF THE FLANGE FACES OR OTHER MECHANICAL DAMAGE WAS OBSERVED.",HL (Hazardous Liquids),US BBLs,1700,2010-03-25,3,HL,"Philadelphia, PA",2010-03-01
CENTERPOINT ENERGY GAS TRANSMISSION,602,YES,2010,2010-04-15T17:30:00Z,34.92765,-91.05315,27187.5,1125,NO,0,NO,0,NO,NO,0,122026.140115795,EXCAVATION DAMAGE,"NATURAL GAS","ON APRIL 15 A FARMER PULLING LEVEES ON HIS FIELD IN ST. FRANCIS COUNTY BETWEEN GOODWIN AND WHEATLEY ARKANSAS, SEVERED CEGT/S 4"" JM-20 PIPELINE AT STATIONING 590+36.  CEGT WAS NOTIFIED AT 17:30 HRS. AND ARRIVED ON SITE AT 18:15 HRS.  EMERGENCY RESPONDERS CLOSED HIGHWAY 70 THAT WAS WITHIN 100 YARDS OF THE LEAK SITE AT 18:57 HRS.  HIGHWAY 70 WAS REOPENED AT 20:37 BY EMERGENCY RESPONDERS.  REPAIRS WERE COMPLETED ON APRIL 16 AT 03:37 HRS.  AT 15:45 JM-20 WAS LOADED AND ALL CEGT MEASUREMENT FACILITIES WERE PURGED AND LOADED SO THE DISTRIBUTION COMPANY COULD BEGIN TO RELIGHT CUSTOMERS.",GT (Gas Transmission),mscf,28312.5,2010-04-15,4,Gas,"1 Mile East Of Wheatley, AR",2010-04-01
ENTERPRISE PRODUCTS OPERATING LLC,31618,YES,2010,2010-04-23T16:32:00Z,38.98742,-97.4042,1669,0,NO,0,NO,0,NO,NO,3,700393.910621492,EXCAVATION DAMAGE,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,"SCADA LOW PRESSURE ALARM AT A PUMP STATION ALERTED OPERATION CONTROL (OC). OC SHUT OFF THE UPSTREAM  PUMP, CLOSED THE REMOTELY OPERATED VALVE AT THE DOWNSTREAM PUMP STATION AND NOTIFIED FIELD PERSONNEL OF  AN APPARENT LINE FAILURE. TWO AREA TECHNICIANS WERE DISPATCHED TO CLOSE THE VALVES BETWEEN THE PUMP  STATIONS WHILE MONITORING FOR INDICATIONS OF A RELEASE. OC NOTIFIED NEARBY COUNTY SHERIFF DEPARTMENTS,  KDHE, KDEM AND NRC. COUNTY EMERGENCY MANAGEMENT PERSONNEL REPORTED THE LOCATION OF AN UNCONTROLLED  RUNOFF OF NATURAL GASOLINE TO A NEARBY CREEK. AREA TECHNICIANS RESPONDED BY CLOSING ADJACENT BLOCK  VALVES. AERIAL OBSERVATION SPOTTED A SPILL CONTROL LOCATION IMMEDIATELY UPSTREAM OF THE CREEK INFLOW TO  THE SOLOMON RIVER. A HAZ MAT RESPONSE TEAM INSTALLED A SPILL CONTROL MATERIAL WEIR, AND APPLIED ADDITIONAL  BOOMS AND ABSORPTION MATERIAL TO CONTAIN RAPIDLY EVAPORATING GASOLINE. AS A PRECAUTIONARY MEASURE, 3  RESIDENCES WERE EVACUATED. A PRECISE COUNT OF NUMBER OF PEOPLE EVACUATED WAS NOT MADE BUT ALL WERE  CLEARED TO RETURN TO THEIR HOMES THE DAY AFTER THE FAILURE OCCURRED.  THE INITIAL NRC NOTIFICATION (CASE #937988) WAS FOLLOWED WITH A REVISED VOLUME RELEASE ESTIMATE UNDER CASE  #937993. THE RELEASE VOLUME REPORTED IN PART A OF THIS REPORT IS A FURTHER REFINED RELEASE ESTIMATE FROM THE  VOLUME METERED TO REFILL THE LINE AFTER THE REPAIR.  AFTER THE AREA WAS MADE SAFE, THE LINE WAS EXCAVATED AND EXPOSED IN PRESENCE OF A PHMSA CENTRAL REGION  INSPECTOR. THE LINE WAS THEN CUT AND REPAIRED WITH PRE-TESTED PIPE. THE FAILED PIPE WAS SENT TO KIEFNER AND  ASSOCIATES FOR METALLURGICAL ANALYSIS.  UNDER APPROVAL OF PHMSA CENTRAL REGION, THE LINE WAS RESTARTED ON APRIL 29 WITH A TEMPORARY 20% PRESSURE  REDUCTION. SUBSEQUENT TO REVIEW OF THE METALLURGICAL RESULTS, A REVIEW OF SIX (6) ADDITIONAL LINE DIGS AND  DETERMINATION OF CAUSE OF THE FAILURE, PHMSA CENTRAL REGION APPROVED REMOVING THE 20% PRESSURE REDUCTION.  SHORTLY AFTER THE INCIDENT, APPROXIMATELY 100 SMALL FISH WERE FOUND DEAD IN ONE LOCATION ON COLE CREEK APPROXIMATELY 3/4 OF A MILE DOWNSTREAM FROM THE LEAK. ENVIRONMENTAL EVALUATION AND REMEDIATION HAS BEEN COMPLETED AND CLOSED BY KDHE.  APPROXIMATELY 230 CUBIC YARDS OF SOIL WAS CONTAMINATED AND SUBSEQUENTLY REMEDIATED ON-SITE.  REGARDING APPARENT CAUSE, A SEARCH OF ONE CALL TICKETS IN THE VICINITY OF THE RUPTURE DID NOT PRODUCE A ONE CALL TICKET AT THE LOCATION OF THE PIPE FAILURE, BUT THE POSSIBILITY OF PREVIOUS EXCAVATION DAMAGE COULD ALSO NOT BE EXCLUDED.",HL (Hazardous Liquids),US BBLs,1669,2010-04-23,4,HL,"Solomon, KS",2010-04-01
ENBRIDGE OFFSHORE (GAS TRANSMISSION) LLC,18646,YES,2010,2010-05-07T15:45:00Z,28.285889,-92.568611,45035,0,NO,0,NO,0,NO,NO,0,441939.079738383,OTHER OUTSIDE FORCE DAMAGE,"NATURAL GAS","W&T (THE VR320 PLATFORM PRODUCER) HIRED A VESSEL THE 'LIA JANE' TO DRAG METAL ""GORILLA"" NETS IN A 1300' RADIUS AROUND THE ABANDONED VR320 PLATFORM SITE.  WHILE DRAGGING THE METAL NETS, SOMETHING WAS SNAGGED.  WHILE THE VESSEL CREW WORKED TO ""UN-SNAG"" THE NET, THEY OBSERVED A LARGE GAS RELEASE, APPROXIMATELY 1/2 MILE TO THE WEST OF THEIR LOCATION.  THE GAS RELEASE WAS 50' HIGH BY 100' WIDE BUT THERE WAS NO SHEEN.  THE ENBRIDGE GAS CONTROL CENTER IMMEDIATELY NOTICED THE DROP IN PRESSURE ON THE STINGRAY 22"" PIPELINE AND SUBSEQUENTLY INITIATED THE INCIDENT COMMAND PROCEDURE WHICH RESULTED IN THE IMMEDIATE SHUT-IN OF PRODUCTION INTO THE 22"" AND BLOW-DOWN OF THE 22"" PIPELINE (FROM THE INCIDENT LOCATION TO THE TERMINATION OF THE 22"" PIPELINE AT WC509 COMPRESSOR STATION).  DIVERS LATER CONFIRMED THE DAMAGE WAS ON A 6"" PIPELINE THAT GOES OUT TO THE VERMILION 326 PLATFORM.",GG (Gas Gathering),mscf,45035,2010-05-07,5,Gas,"NA County, NA",2010-05-01
ALYESKA PIPELINE SERVICE CO,26149,YES,2010,2010-05-25T11:00:00Z,63.93074,-145.76660999999999,2580,0,NO,0,NO,0,NO,NO,0,35223639.1602577,INCORRECT OPERATION,CRUDE OIL,"ITEM A 14. THE PIPELINE WAS SHUTDOWN AT 09:02 FOR A PLANNED MAINTENANCE SHUTDOWN, SO WAS SHUTDOWN PRIOR TO THE ACCIDENT.  THE ACCIDENT OCCURRED AT 11:00 AND THE PIPELINE THEN REMAINED SHUTDOWN UNTIL 16:40 ON MAY 28, AS A RESULT OF THE ACCIDENT.      ON JUNE 24, 2011, THE ACCIDENT CAUSE HAS BEEN MODIFIED FROM ""EQUIPMENT FAILURE"" TO ""INCORRECT OPERATION"" AT THE REQUEST OF PHMSA WESTERN REGION.  INCORRECT OPERATION WAS IDENTIFIED AS A CONTRIBUTING CAUSE OF THE INCIDENT, HOWEVER IT WAS NOT IDENTIFIED AS THE ROOT CAUSE IN ALYESKA'S INCIDENT INVESTIGATION.",HL (Hazardous Liquids),US BBLs,2580,2010-05-25,5,HL,"Delta Junction, AK",2010-05-01
